codice,elenco_puntato,descrizione,riga_bilancio,n_sottovoci
U,,Uscite,,
U.A,A),Uscite da attività di interesse generale,,
U.A.1,1),Materie prime sussidiarie di consumo e di merci,4,
U.A.2,2),Servizi,5,
U.A.3,3),Godimento beni di terzi,7,
U.A.4,4),Personale,8,
U.A.5,5),Uscite diverse di gestione,10,
U.B,B),Uscite da attività diverse,,
U.B.1,1),Materie prime sussidiarie di consumo e di merci,16,
U.B.2,2),Servizi,17,
U.B.3,3),Godimento beni di terzi,18,
U.B.4,4),Personale,19,
U.B.5,5),Uscite diverse di gestione,20,
U.C,C),Uscite da attività di raccolta fondi,,
U.C.1,1),Uscite per raccolte fondi abituali,25,
U.C.2,2),Uscite per raccolte fondi occasionali,26,
U.C.3,3),Altre uscite,27,
U.D,D),Uscite da attività finanziarie e patrimoniali,,
U.D.1,1),Su rapporti bancari,31,
U.D.2,2),Su investimenti finanziari,32,
U.D.3,3),Su patrimonio edilizio,33,
U.D.4,4),Su altri beni patrimoniali,34,
U.D.5,5),Altre uscite,35,
U.E,E),Uscite di supporto generale,,
U.E.1,1),Materie prime sussidiarie di consumo e di merci,39,
U.E.2,2),Servizi,40,
U.E.3,3),Godimento beni di terzi,41,
U.E.4,4),Personale,42,
U.E.5,5),Uscite diverse di gestione,43,
E,,Entrate,,
E.A,A),Entrate da attività di interesse generale,,
E.A.1,1),Entrate da quote associative e apporti dei fondatori,3,
E.A.2,2),Entrate dagli associati per attività mutuali,4,
E.A.3,3),Entrate per prestazioni e cessioni ad associati e fondatori,5,
E.A.4,4),Erogazioni liberali,6,
E.A.5,5),Entrate del 5 per mille,7,
E.A.6,6),Contributi da soggetti privati,8,
E.A.7,7),Entrate per prestazioni e cessioni a terzi,9,
E.A.8,8),Contributi da enti pubblici,10,
E.A.9,9),Entrate da contratti con enti pubblici,11,
E.A.10,10),Altre entrate,12,
E.B,B),Entrate da attività diverse,,
E.B.1,1),Entrate per prestazioni e cessioni ad associati e fondatori,16,
E.B.2,2),Contributi da soggetti privati,17,
E.B.3,3),Entrate per prestazioni e cessioni a terzi,18,
E.B.4,4),Personale,19,
E.B.5,5),Contributi da enti pubblici,20,
E.B.6,6),Altre entrate,21,
E.C,C),Entrate da attività di raccolta fondi,,
E.C.1,1),Entrate da raccolte fondi abituali,25,
E.C.2,2),Entrate da raccolte fondi occasionali,26,
E.C.3,3),Altre entrate,27,
E.D,D),Entrate da attività finanziarie e patrimoniali,,
E.D.1,1),Da rapporti bancari,31,
E.D.2,2),Da investimenti finanziari,32,
E.D.3,3),Da patrimonio edilizio,33,
E.D.4,4),Da altri beni patrimoniali,34,
E.D.5,5),Altre entrate,35,
E.E,E),Entrate di supporto generale,,
E.E.1,1),Entrate da distacco del personale,39,
E.E.2,2),Altre entrate di supporto generale,40,
